Reviews1,Theme1
"Option for excercising, Yoga or some indoor games should be incorporated  for  health benefit of staff.    Culture of listening to music with in the department should be  enhanced. as per study it will increase the productivity","Employee Engagement - Yoga,  Games, Finance"
i would like to suggest to get tea free of cost for the staff in day shift if possible...thank you,Free of cost Tea for staff
"Allow employees - especially in Admin functions - to have better work-life balance...flexi-timings, work-from-home, etc.  More fun@work activities, including more celebrations  Introduce innovative Work-Life Balance policies.....5-days working (atleast alternate Saturdays off)  Give more independence to HODs  Employees need to ""loosen up"".....help get over ""fear-factor"" of Senior Management","Work Life Balance, 5 days work week"
more open communication system,Openness and Transparency
"Yoga and Meditation classes 3 day in a week for everyone, other sports activies for men and women also. We should be start indoor games and ourdoor games, like Khokho, Badminton, Table tennis sports activities for women employee also.","Employee Engagement - Yoga,  Games, Meditation"
Respect eachother's work,Mutual Respect
"Trust, intent to work for similar goal/s, clear and transparent communication, motivation driven discipline, reward and recognision, time for team engagement and motivational support on daily basis for each member at all levels",Openness and Transparency
"give better salary, make a gymnasium",Gym
Proper Communication & more activities involving next level of satisfaction for employees,Openness and Transparency
To make the happy environment there can the saturdays off or there can be regular trips from the organisation to build happiness among the team members.,5 Days working
An employee should feel like a part of the family. The organisation should work as a unit and ensure systems improve without focusing on individuals unless necessary,Family like culture
transparancy ,Openness and Transparency
communication ,Openness and Transparency
"1. If we can build up a good relationship with the organizational environment.  2. We need to pay proper attention and propose a regular rescpective intra departmental survey, to come up with feedbacks and issues, which if being heard and solved, can result in a good outcome.  4. We can offer equal opportunities to the entire respective team, for any given task, considering the practical knowledge and performance.  5. If we allow every one to come up with issues if facing any inregards of work criteria, team coordination, responsibility , this will add a possitive value, in the environment.",Employee Feedback & Suggestions
